rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,5IYWdpFJAeKLggc7B8xtJm,Gang Bang,Madonna,MDNA (Deluxe Version),currently_listening,127.00,181.00,71.00,82.00,28.00,3A,1,2026-08-31T05:29:30.657Z,https://open.spotify.com/track/5IYWdpFJAeKLggc7B8xtJm
2,4DByEumlGTZKSzuVEZ35eo,PURE/HONEY,Beyoncé,RENAISSANCE,currently_listening,124.00,187.00,56.00,86.00,45.00,3B,1,2026-08-31T05:29:30.660Z,https://open.spotify.com/track/4DByEumlGTZKSzuVEZ35eo
3,6itF8MROxH2MKs5oBuvUTz,We Fly High - Ballin',Jim Jones,M.O.B. Members of Byrdgang,currently_listening,120.00,186.00,66.00,69.00,51.00,3B,1,2026-08-31T05:29:30.674Z,https://open.spotify.com/track/6itF8MROxH2MKs5oBuvUTz
4,2c5Isyd07hWsl7AQia2Dig,Fast Lane,Bad Meets Evil,Hell: The Sequel (Deluxe),currently_listening,119.00,183.00,87.00,62.00,34.00,3B,1,2026-08-31T05:29:30.676Z,https://open.spotify.com/track/2c5Isyd07hWsl7AQia2Dig
5,55lijDD6OAjLFFUHU9tcDm,WHERE IS MY HUSBAND!,RAYE,WHERE IS MY HUSBAND!,currently_listening,116.00,180.00,78.00,39.00,63.00,4B,1,2026-08-31T05:29:30.633Z,https://open.spotify.com/track/55lijDD6OAjLFFUHU9tcDm
6,35ISBknsCeZQtq66xABI9g,Messy,Lola Young,This Wasn't Meant For You Anyway,currently_listening,111.00,200.00,55.00,80.00,65.00,11B,1,2026-08-31T05:29:30.638Z,https://open.spotify.com/track/35ISBknsCeZQtq66xABI9g
7,1w7cgGZR86yWz1pA2puVJD,HEATED,Beyoncé,RENAISSANCE,currently_listening,111.00,202.00,73.00,79.00,50.00,3B,1,2026-08-31T05:29:30.660Z,https://open.spotify.com/track/1w7cgGZR86yWz1pA2puVJD
8,1i4JlWqVDl8nG8lL6ybjuN,Ramalama (Bang Bang),Róisín Murphy,Ruby Blue,currently_listening,107.00,200.00,66.00,82.00,52.00,11B,1,2026-08-31T05:29:30.701Z,https://open.spotify.com/track/1i4JlWqVDl8nG8lL6ybjuN
9,2EvwLVrnYbCZEG6Kx5DCRy,Piece of Me,Britney Spears,Blackout,currently_listening,115.00,219.00,64.00,77.00,78.00,1B,1,2026-08-31T05:29:30.665Z,https://open.spotify.com/track/2EvwLVrnYbCZEG6Kx5DCRy
10,18eoNBn1L1li2TvPa2DupB,Hot Mess,Cobra Starship,Hot Mess,currently_listening,120.00,224.00,87.00,64.00,73.00,9B,1,2026-08-31T05:29:30.702Z,https://open.spotify.com/track/18eoNBn1L1li2TvPa2DupB
11,5myYDbAurm1CW038qd4gL2,Goodbye,Kristinia DeBarge,Exposed (Deluxe Edition),currently_listening,120.00,225.00,82.00,78.00,65.00,12A,1,2026-08-31T05:29:30.655Z,https://open.spotify.com/track/5myYDbAurm1CW038qd4gL2
12,2BwO5K8Q7EPAJSGze3AAh9,Manchild,Sabrina Carpenter,Man’s Best Friend,currently_listening,123.00,226.00,69.00,73.00,84.00,9B,1,2026-08-31T05:29:30.635Z,https://open.spotify.com/track/2BwO5K8Q7EPAJSGze3AAh9
13,4yZaGXHJ4b6ToBBAIdK25W,HIT ME HARDER,3OH!3,HIT ME HARDER,currently_listening,123.00,226.00,87.00,64.00,75.00,3A,1,2026-08-31T05:29:30.695Z,https://open.spotify.com/track/4yZaGXHJ4b6ToBBAIdK25W
14,1SF8piqsZWn86DajVKih8F,Kacey Talk,YoungBoy Never Broke Again,Top,currently_listening,127.00,226.00,61.00,88.00,77.00,3A,1,2026-08-31T05:29:30.628Z,https://open.spotify.com/track/1SF8piqsZWn86DajVKih8F
15,70sK7T5SzRs6QFHA1LLfrw,Déjà Vu,3OH!3,Streets Of Gold,currently_listening,128.00,226.00,82.00,65.00,79.00,10A,1,2026-08-31T05:29:30.649Z,https://open.spotify.com/track/70sK7T5SzRs6QFHA1LLfrw
16,46aZJc0z1HHHSFxaIRxYSP,Breakin' Dishes,Rihanna,Good Girl Gone Bad: Reloaded,currently_listening,125.00,232.00,66.00,80.00,86.00,1A,1,2026-08-31T05:29:30.675Z,https://open.spotify.com/track/46aZJc0z1HHHSFxaIRxYSP
17,4w60xWHtRTfeKtgoxpFPYH,I Like That (Feat. LUCIANA) - Radio Edit,"Richard Vission,Static Revenger,Luciana",I Like That (Feat. Luciana),currently_listening,129.00,234.00,68.00,91.00,75.00,2B,1,2026-08-31T05:29:30.661Z,https://open.spotify.com/track/4w60xWHtRTfeKtgoxpFPYH
18,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,"Dr. Dre,Eminem",2001,currently_listening,134.00,228.00,74.00,92.00,62.00,4B,1,2026-08-31T05:29:30.666Z,https://open.spotify.com/track/7iXF2W9vKmDoGAhlHdpyIa
19,6pymOcrCnMuCWdgGVTvUgP,3,Britney Spears,The Singles Collection,currently_listening,135.00,220.00,71.00,70.00,79.00,4A,1,2026-08-31T05:29:30.659Z,https://open.spotify.com/track/6pymOcrCnMuCWdgGVTvUgP
20,0sHW1jXe6Sou3437gJQNGA,Space Bound,Eminem,Recovery,currently_listening,142.00,206.00,89.00,67.00,50.00,8B,1,2026-08-31T05:29:30.647Z,https://open.spotify.com/track/0sHW1jXe6Sou3437gJQNGA
21,3hsmbFKT5Cujb5GQjqEU39,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),"Chris Brown,Lil Wayne,Busta Rhymes",F.A.M.E. (Expanded Edition),currently_listening,146.00,199.00,68.00,77.00,54.00,10A,1,2026-08-31T05:29:30.681Z,https://open.spotify.com/track/3hsmbFKT5Cujb5GQjqEU39
22,18JosZY3HzD3lMy6iOOSAY,Superstar,USHER,Confessions (Expanded Edition),currently_listening,142.00,197.00,59.00,67.00,71.00,11A,1,2026-08-31T05:29:30.671Z,https://open.spotify.com/track/18JosZY3HzD3lMy6iOOSAY
23,7IhsLJMqdxoo7YAZjaSMru,Dead And Gone,"T.I.,Justin Timberlake",Paper Trail,currently_listening,135.00,193.00,75.00,71.00,47.00,8B,1,2026-08-31T05:29:30.679Z,https://open.spotify.com/track/7IhsLJMqdxoo7YAZjaSMru
24,0z5jiuz3oC84uqta6qwq02,Ooh Kill Em,Meek Mill,Unreleased Killadelphia Muzik,currently_listening,134.00,186.00,72.00,76.00,38.00,6A,1,2026-08-31T05:29:30.682Z,https://open.spotify.com/track/0z5jiuz3oC84uqta6qwq02
25,358bOvBiZCS9fRzNYosw6c,Like a Boy,Ciara,The Evolution,currently_listening,132.00,185.00,72.00,70.00,43.00,5A,1,2026-08-31T05:29:30.656Z,https://open.spotify.com/track/358bOvBiZCS9fRzNYosw6c
