packet_index,slot,seed_track_id,track_id,tier,name,artists,album,bpm,mood_score,key_step,distance,spotify_url
5,1,0mflMxspEfB0VbI1kyLiAv,0mflMxspEfB0VbI1kyLiAv,on_repeat,Stick Season,Noah Kahan,Stick Season,118.000,196.000,1,0.000000,https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv
5,2,0mflMxspEfB0VbI1kyLiAv,7LRMbd3LEoV5wZJvXT1Lwb,on_repeat,T.N.T,AC/DC,High Voltage,126.000,195.000,1,0.304654,https://open.spotify.com/track/7LRMbd3LEoV5wZJvXT1Lwb
5,3,0mflMxspEfB0VbI1kyLiAv,0z1b34WikhOH9ZxU8QDWcv,on_repeat,One Headlight,The Wallflowers,Bringing Down The Horse,108.000,199.000,1,0.387405,https://open.spotify.com/track/0z1b34WikhOH9ZxU8QDWcv
5,4,0mflMxspEfB0VbI1kyLiAv,5ehcf6UL1TkwozB386cRAp,yes,Don't Stop Believin' (2024 Remaster),Journey,Greatest Hits (2024 Remaster),119.000,174.000,1,0.575096,https://open.spotify.com/track/5ehcf6UL1TkwozB386cRAp
7,1,4UVKy0DI1hOlL8xF99Ba5j,4UVKy0DI1hOlL8xF99Ba5j,yes,Any Way You Want It (2024 Remaster),Journey,Greatest Hits (2024 Remaster),138.000,205.000,1,0.000000,https://open.spotify.com/track/4UVKy0DI1hOlL8xF99Ba5j
7,2,4UVKy0DI1hOlL8xF99Ba5j,5DiXcVovI0FcY2s0icWWUu,yes,Mr. Jones,Counting Crows,August And Everything After,142.000,213.000,1,0.252148,https://open.spotify.com/track/5DiXcVovI0FcY2s0icWWUu
7,3,4UVKy0DI1hOlL8xF99Ba5j,1GIyqBf1T1IjaNAOtK9cYe,yes,Legacy,Peyton & His Peers,Legacy,140.000,192.000,1,0.342795,https://open.spotify.com/track/1GIyqBf1T1IjaNAOtK9cYe
7,4,4UVKy0DI1hOlL8xF99Ba5j,1nUC2uuKUl49tDwQ1m4A1J,yes,BURNER PHONE,cleopatrick,SCRAP,136.000,181.000,2,0.776403,https://open.spotify.com/track/1nUC2uuKUl49tDwQ1m4A1J
8,1,1HrMWH5GUdK6Yi94rbANJA,1HrMWH5GUdK6Yi94rbANJA,yes,Cola,"CamelPhat,Elderbrook",Cola,122.000,189.000,1,0.000000,https://open.spotify.com/track/1HrMWH5GUdK6Yi94rbANJA
8,2,1HrMWH5GUdK6Yi94rbANJA,0grFc6klR3hxoHLcgCYsF4,yes,Howlin' for You,The Black Keys,Brothers,133.000,190.000,1,0.393270,https://open.spotify.com/track/0grFc6klR3hxoHLcgCYsF4
8,3,1HrMWH5GUdK6Yi94rbANJA,0p1hBWPaSxUDTSa32PyhnU,yes,She Calls Me Back,"Noah Kahan,Kacey Musgraves",She Calls Me Back (with Kacey Musgraves),128.000,206.000,1,0.482394,https://open.spotify.com/track/0p1hBWPaSxUDTSa32PyhnU
8,4,1HrMWH5GUdK6Yi94rbANJA,5pf1ZzUE1v0de2oYegaQur,yes,California Callin',Enrique Iglesias,7,124.000,194.000,2,0.505081,https://open.spotify.com/track/5pf1ZzUE1v0de2oYegaQur
9,1,3jfHclM5oNBSUvuBS7OgPj,3jfHclM5oNBSUvuBS7OgPj,yes,Absolution,Switchfoot,Absolution,91.000,168.000,1,0.000000,https://open.spotify.com/track/3jfHclM5oNBSUvuBS7OgPj
9,2,3jfHclM5oNBSUvuBS7OgPj,4Az17HfqonKSWNsaLgTBeK,yes,If I Told You,Darius Rucker,When Was The Last Time,84.000,150.000,1,0.511393,https://open.spotify.com/track/4Az17HfqonKSWNsaLgTBeK
9,3,3jfHclM5oNBSUvuBS7OgPj,2AT8iROs4FQueDv2c8q2KE,yes,R U Mine,Arctic Monkeys,AM,97.000,167.000,2,0.558502,https://open.spotify.com/track/2AT8iROs4FQueDv2c8q2KE
9,4,3jfHclM5oNBSUvuBS7OgPj,0fYVliAYKHuPmECRs1pbRf,yes,Renegades,X Ambassadors,VHS,90.000,192.000,1,0.600656,https://open.spotify.com/track/0fYVliAYKHuPmECRs1pbRf
13,1,5iRv1aH4eNai45KfhjtJ6n,5iRv1aH4eNai45KfhjtJ6n,yes,When the Love is Gone,Des Rocs,When the Love is Gone,141.000,172.000,1,0.000000,https://open.spotify.com/track/5iRv1aH4eNai45KfhjtJ6n
13,2,5iRv1aH4eNai45KfhjtJ6n,0Fifn4lBIGM5LG18Whp1Dx,yes,Corners,The Fray,Through the Years: The Best of The Fray,126.000,164.000,1,0.558250,https://open.spotify.com/track/0Fifn4lBIGM5LG18Whp1Dx
13,3,5iRv1aH4eNai45KfhjtJ6n,3TP8KZt9tJGyeBRVyDysp9,yes,Better If Worse,"HAFFWAY,Matt Maeson",Better If Worse (with Matt Maeson),124.000,183.000,2,0.854038,https://open.spotify.com/track/3TP8KZt9tJGyeBRVyDysp9
13,4,5iRv1aH4eNai45KfhjtJ6n,6UWmNaS12bUJzFBuQB6e7j,yes,Grave Digger,Matt Maeson,Grave Digger,140.000,137.000,2,0.982691,https://open.spotify.com/track/6UWmNaS12bUJzFBuQB6e7j
14,1,5fbQCQt91LsVgXusFS0CCD,5fbQCQt91LsVgXusFS0CCD,yes,Disorder - 2007 Remaster,Joy Division,Unknown Pleasures (Collector's Edition),85.000,186.000,1,0.000000,https://open.spotify.com/track/5fbQCQt91LsVgXusFS0CCD
14,2,5fbQCQt91LsVgXusFS0CCD,5l8oNQsDDPNFUIV5M4lzRJ,yes,Free Animal,Foreign Air,Free Animal,80.000,155.000,1,0.716908,https://open.spotify.com/track/5l8oNQsDDPNFUIV5M4lzRJ
14,3,5fbQCQt91LsVgXusFS0CCD,61b8dII0C3ybIRdQY6dl3d,yes,Caffeine,Foreign Air,Caffeine,95.000,168.000,2,0.760771,https://open.spotify.com/track/61b8dII0C3ybIRdQY6dl3d
14,4,5fbQCQt91LsVgXusFS0CCD,67q8yivDoOPXCYodi1zTix,yes,Glue Myself Shut,Noah Kahan,Cape Elizabeth,73.000,163.000,2,0.856181,https://open.spotify.com/track/67q8yivDoOPXCYodi1zTix
27,1,11xzzqo9lMGxd7z1UfMHcv,11xzzqo9lMGxd7z1UfMHcv,maybe,Gold in My Hair,Black Math,New Game,188.000,236.000,1,0.000000,https://open.spotify.com/track/11xzzqo9lMGxd7z1UfMHcv
27,2,11xzzqo9lMGxd7z1UfMHcv,2PnlsTsOTLE5jnBnNe2K0A,maybe,The Emptiness Machine,Linkin Park,The Emptiness Machine,184.000,215.000,2,0.627584,https://open.spotify.com/track/2PnlsTsOTLE5jnBnNe2K0A
28,1,2B0abNU9B6RcGaIY6jaQYY,2B0abNU9B6RcGaIY6jaQYY,maybe,Light A Fire,Gavin Adcock,Own Worst Enemy,75.000,138.000,1,0.000000,https://open.spotify.com/track/2B0abNU9B6RcGaIY6jaQYY
28,2,2B0abNU9B6RcGaIY6jaQYY,0JfAMd3xTqm7ZYhBmQjYzt,maybe,Do You Know? (The Ping Pong Song),Enrique Iglesias,Insomniac,115.000,222.000,1,1.881364,https://open.spotify.com/track/0JfAMd3xTqm7ZYhBmQjYzt
29,1,4t86vQyqJuck4tAn9eIzHH,4t86vQyqJuck4tAn9eIzHH,maybe,Bank On The Funeral,Matt Maeson,Bank On The Funeral,177.000,78.000,1,0.000000,https://open.spotify.com/track/4t86vQyqJuck4tAn9eIzHH
30,1,00aEvruq9NQRUzYMn1rEPs,00aEvruq9NQRUzYMn1rEPs,maybe,The Therapist,Foreign Air,The Therapist,92.000,182.000,1,0.000000,https://open.spotify.com/track/00aEvruq9NQRUzYMn1rEPs
