#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Shadow On The Sea","CHAMPS",110,9A,81,2026-08-14,04:07,46,"","The Hard Interchange",2019-09-27,83,29,0,81,0,0,-5,E Minor,4,6aBmVhShJV8rY9YAh4xxo6,QMRSZ1901358,no
2,"labour","Paris Paloma",84,10A,57,2026-08-14,03:57,75,"","Cacophony",2024-08-30,65,38,0,45,10,30,-10,B Minor,4,0e00DiF2T9znEdmWakYSC3,CAN112300498,yes
3,"LABOUR - the cacophony","Paris Paloma",168,10A,79,2026-08-14,04:07,82,"","LABOUR (the cacophony)",2024-03-29,53,5,0,29,10,20,-8,B Minor,4,4B0cJGASxVICLW2AsBZhiE,CAN112400852,yes
4,"Good Girl","Paris Paloma",129,9B,77,2026-08-14,04:23,56,"","Good Girl",2026-01-30,62,14,0,27,20,10,-6,G Major,4,5916POJDlPQRBbe1SJc7uK,CAN112600070,no
5,"Good Boy","Paris Paloma",124,12B,78,2026-08-14,03:42,34,"","Good Girl",2026-01-30,63,19,0,35,10,10,-7,E Major,4,4UkKlwIBnOdUwvnmem04P9,CAN112501780,no
6,"Stem the Flow","Paris Paloma",129,11B,86,2026-08-14,04:03,44,"","Pre-Raphaelite",2026-07-24,57,3,0,23,10,20,-7,A Major,4,1O7JuVMcMWueSkIAf1C6P1,CAN112600495,yes
7,"King","Florence + The Machine",106,11A,45,2026-08-14,04:40,65,"baroque pop","Dance Fever",2022-05-13,73,14,0,9,0,10,-8,F#/G♭ Minor,4,31ABtQJdfloNaGz7ZhXaN5,GBUM72108021,no
8,"Floor It","Bear Hands",132,4B,72,2026-08-14,03:00,0,"","The Key to What",2024-10-18,76,26,15,79,0,0,-6,G#/A♭ Major,4,4E3DhWlhgxDUCUIGeLIRV6,US38Y2414501,yes
9,"Intrusive Thoughts","Bear Hands",130,7B,74,2026-08-14,03:28,0,"","The Key to What",2024-10-18,75,14,10,72,0,0,-5,F Major,4,6X3dsWYaXWhU5zdGj0p21G,US38Y2411013,no
10,"Tearing Me Up","Bob Moses",115,8B,40,2026-08-14,07:50,61,"","Days Gone By",2015-09-18,71,17,0,16,0,60,-10,C Major,4,6NDt5z8GKIHub37hBQ4x18,GBCEL1500297,no
11,"Friendly Fire","Rainbow Kitten Surprise",135,7B,70,2026-08-14,03:33,55,"","bones",2025-09-26,54,29,0,38,0,10,-5,F Major,4,7DTAZBykDP2m8LkYehrwhl,USAT22504348,no
12,"Hell Nah","Rainbow Kitten Surprise",170,3B,72,2026-08-14,03:26,64,"","bones",2025-09-26,48,11,0,40,10,0,-5,C♯/D♭ Major,4,50GOcJ4oPhKmUxcdiqWBqx,USAT22504349,no
13,"bones","Rainbow Kitten Surprise",208,1B,82,2026-08-14,03:24,57,"","bones",2025-09-26,47,35,0,56,0,10,-5,B Major,4,7p64m8lgMpuTl00Gd6T9gx,USAT22504350,yes
